Self|ozh
I|ozh
me|ozh
my|ozh
mine|ozh
1|ozh
i|ozh
maine|ozh
pinetreestate|ozh
ace|ozh
ane|ozh
atomicnumber53|ozh
ego|ozh
iodin|ozh
iodine|ozh
one|ov
self|ozh
single|ozh
unity|ov
you|izh
him|izh
her|izh
group|izhai
they|izhai
them|izhai
aggroup|izhai
chemicalgroup|izhai
grouping|izhai
mathematicalgroup|izhai
radical|izhai
demon|ozkavosh
demons|ozkavosh
spirit|ozkavosh
spirits|ozkavosh
johnbarleycorn|ozkavosh
booze|ozkavosh
daemon|ozkavosh
daimon|ozkavosh
devil|ozkavosh
disembodiedspirit|ozkavosh
emotionalstate|ozkavosh
feel|hahsh
feeling|ozkavosh
fiend|ozkavosh
flavor|ozkavosh
flavour|ozkavosh
harddrink|ozkavosh
hardliquor|ozkavosh
heart|ozkavosh
inspirit|ozkavosh
intent|ozkavosh
life|ozkavosh
liquor|ozkavosh
liveliness|ozkavosh
look|eyik
monster|ozkavosh
ogre|ozkavosh
purport|ozkavosh
smell|ozkavosh
spiritup|ozkavosh
sprightliness|ozkavosh
strongdrink|ozkavosh
tone|hahsh
this|sa
concept|sa
conception|sa
construct|sa
that|vu
the|vu
upon|doq
ontop|doq
above|doq
ground|doq
anchor|doq
background|doq
base|doq
basis|doq
bray|doq
comminute|doq
cranch|doq
craunch|doq
crunch|doq
dig|doq
drudge|doq
dryland|doq
earth|doq
establish|doq
fag|doq
flatcoat|doq
footing|doq
found|doq
grate|doq
grind|doq
higherup|doq
inahigherplace|doq
labor|doq
labour|doq
land|nith
mash|doq
moil|doq
prime|doq
primer|doq
primercoat|doq
priming|doq
primingcoat|doq
reason|doq
runaground|doq
soil|doq
solidground|doq
strand|doq
supra|doq
terrafirma|doq
toahigherplace|doq
toil|doq
travail|doq
undercoat|nith
far|roq
distant|roq
remote|roq
reach|roq
alir|roq
armyfortheliberationofrwanda|roq
formerarmedforces|roq
interahamwe|roq
accomplish|roq
achieve|roq
aloof|roq
ambit|roq
arriveat|roq
attain|roq
compass|roq
contact|roq
extendto|roq
gain|roq
getholdof|roq
getthrough|roq
getto|roq
give|roq
grasp|roq
hand|roq
hit|roq
make|roq
orbit|roq
outback|roq
outside|roq
pass|roq
passon|roq
progressto|roq
range|roq
reachout|roq
reaching|roq
remotecontrol|roq
removed|roq
scope|roq
strain|roq
stretch|roq
strive|roq
touch|roq
turnover|roq
upstage|roq
below|doz
beneath|doz
underneath|doz
burrowed|doz
atalowerplace|doz
burrow|doz
downthestairs|doz
downstairs|doz
infra|doz
onalowerfloor|doz
